Employee_ID,Full_Name,Age,Gender,Joining_Date,Department,Salary,Country,Phone,Marks
101, Akif Attar ,25,Male,12/2/2026 0:00,IT,25000,India,9876543210,85
102,Ali Khan,30,Male,6/1/2026 0:00,IT,30000,India,9876543211,90
103,Sara Sheikh,91,Female,12/5/2020 0:00,IT,28500,India,9876543212,88
104,Ahmed Patel,28,Male,6/1/2026 0:00,HR,35000,India,9876543213,92
105,Fatima Noor,28,Female,10/8/2023 0:00,FIN,40000,India,NA,95
106,Unknowsn,27,Female,6/1/2026 0:00,HR,27000,India,9876543215,80
107,John Smith,29,Male,6/1/2026 0:00,IT,29500,India,9876543216,84
108, Priya Sharma,26,Female,6/1/2026 0:00,FIN,26000,India,NA,78
109,Rahul Verma,31,Male,6/1/2026 0:00,IT,31000,India,9876543218,82
110,Ayesha Khan,28,Female,1/11/2025 0:00,IT,29500,India,9876543219,86
111,Ali Khan,30,Male,6/1/2026 0:00,IT,30000,India,9876543211,90
112,  Zoya Shaikh  ,91,Female,3/14/2021 0:00,HR,24500,India,9876543220,89
113,Imran Sheikh,24,Male,8/7/2022 0:00,IT,22000,India,9876543221,75
114,Neha Patil,27,Female,6/1/2026 0:00,2024,29500,India,NA,84
115,Karan Joshi,29,Male,6/1/2026 0:00,IT,32000,India,9876543223,84
116,Meera Desai,26,Female,6/1/2026 0:00,IT,26500,India,9876543224,81
117,Arjun More,91,Male,6/1/2026 0:00,HR,29500,India,9876543225,87
118,Sneha Kulkarni,23,Female,8/20/2022 0:00,FIN,23000,India,9876543226,79
119,Vikram Singh,28,Male,10/1/2024 0:00,IT,50000,India,9876543227,91
120,Nida Shaikh,22,Female,6/1/2026 0:00,IT,21500,India,9876543228,77
